Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount ($),Year of Funding
myHQ,Collaboration,Series A,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,500000,2018
Trell,—,Seed,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,1250000,2018
Kidovators (by GyanLab),Big Data,Seed,Bangalore,Building future human capital through 21st Century Skills programs for K-12,180000,2018
Log 9 Materials,Nanotechnology,Seed,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup,438000.0,2018
VTION,Analytics,Seed,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,280320.0,2018
HousingMan.com,—,Seed,Bengaluru,"New Apartments, Flats for Sale in Bangalore",1503800.0,2018
Steradian Semiconductors,—,Seed,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,0,2018
RupeeCircle,Financial Services,Seed,Mumbai,RupeeCircle is a new age finance company.,584000.0,2018
Wooden Street,E-Commerce,Series A,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,1000000,2018
The Ken,Digital Media,Series A,Bengaluru,The Ken is India’s first subscriptions-only business news site,1500000,2018
SaffronStays,—,Seed,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,2000000,2018
Vebbler,File Sharing,Seed,Bengaluru,A personal network for close people,0,2018
Foyr,Home Decor,Series A,Pune,"Foyr.com is India's first online, automated interior designer",4200000,2018
MEngage,Health Care,Seed,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,175000,2018
Inner Being Wellness,—,Angel,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",511000.0,2018
Kobster,E-Commerce,Seed,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,0,2018
Wishberry,Crowdfunding,Series A,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,1460000.0,2018
McXtra,Finance,Seed,Andheri,McXtra is a digital insurance broking startup.,1300000,2018
Magic Crate,Children,Seed,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",0,2018
SmartVizX,Software,Seed,Noida,It is a Virtual Reality Solutions StartUp,1450000,2018
MySEODoc,—,Seed,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",0,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,—,Seed,Pune,Digital Marketing Agency,2920.0,2018
Scale Labs,—,Seed,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,1000000,2018
HungerBox,B2B,Series A,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,4500000,2018
Biryani By Kilo,Catering,Seed,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,1000000,2018
Wholesome Habits (EAT Anytime),Food and Beverage,Seed,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,500000,2018
GoBumpr,Automotive,Seed,Mylapore,Car Service and Bike Service Mobile App,600000,2018
Fixpocket,Computer,Seed,Ahmedabad,Fixpocket is a internet-based startup.,250000,2018
edureka!,Android,Series A,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2000000,2018
Hashtag Loyalty Private Limited,Analytics,Seed,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,0,2018
Wow Express,Delivery,Series A,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",4500000,2018
ZunRoof,Environmental Consulting,Angel,Gurgaon,ZunRoof is a rooftop focused solar startup.,242360.0,2018
Eggoz,Food and Beverage,Angel,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,175200.0,2018
Sqrrl Fintech,Big Data,Seed,Gurgaon,Personal Finance,1000000,2018
GalaxyCard,Finance,Seed,Noida,GalaxyCard is a mobile based Instant credit card.,0,2018
IndiQube,Commercial Real Estate,Series A,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,15000000,2018
EGK Foods,Food and Beverage,Seed,Mumbai,A food processing enterprise registered with StartUp India .,292000.0,2018
NirogStreet,Apps,Seed,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,300000,2018
Pixr8,Digital Media,Seed,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,50000,2018
Nivesh.com,Finance,Seed,Noida,Nivesh.com is a mass market mutual funds investment platform.,438000.0,2018
Theranosis Life Sciences,Biotechnology,Seed,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,0,2018
Poshmiles Online Solutions Private Limited,Travel,Seed,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,0,2018
Reculta,Education,Seed,Noida,A campus recruitment solution provider.,0,2018
Orbo.ai,Internet,Seed,Mumbai,Orbo is a computer vision and deep facial technology company.,0,2018
Inntot Technologies,Consumer Electronics,Seed,Kochi,"Inntot Technologies, is a technology driven company.",0,2018
Zoctr Health,Apps,Seed,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,0,2018
Hey Deedee,Delivery Service,Seed,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,481800.0,2018
DigiConnectt Technologys,Information Services,Seed,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,125000,2018
Locus.sh,Big Data,Series A,Bangalore,Locus is an intelligent logistics automation platform.,4000000,2018
Sports Flashes Pvt. Ltd,Basketball,Seed,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",1000000,2018
Inc42,Media and Entertainment,Seed,New Delhi,Inc42 is one of the leading tech media publications of India.,0,2018
Picxy,Internet,Seed,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",130000,2018
Huddle,Consulting,Seed,Haryana,A coworking incubator Company.,300000,2018
Benepik,Human Resources,Seed,Gurgaon,HR Technology start-up.,0,2018
Cash Suvidha,Finance,Seed,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,1000000,2018
Smartcoin,Big Data,Seed,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment,2000000,2018
Carmel Organics,Agriculture,Series A,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",0,2018
Roadcast,—,Angel,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,250000,2018
Printline Media(ThePrint),Digital Media,Seed,New Delhi,A digital news platform.,509540.0,2018
Creditas Solutions,Financial Services,Seed,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,0,2018
UrbanPiper,Software,Seed,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,0,2018
Doxper,Health Care,Seed,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,1051200.0,2018
i2ifunding,Crowdfunding,Angel,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,730000.0,2018
ShakeDeal,B2B,Seed,Bangalore,Home of B2B Commerce,0,2018
HelloVerify,Fraud Detection,Seed,Noida,HelloVerify is an online background check platform.,0,2018
Fasal,Agriculture,Seed,Bengaluru,Climate Smart Precision Agriculture Platform,120000,2018
CoinGeto,Cryptocurrency,Seed,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,1752000.0,2018
Avail Finance,Finance,Series A,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,17200000,2018
Tripeur,Information Technology,Seed,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,600000,2018
Wedeterna,Wedding,Angel,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",0,2018
Stumagz,Digital Media,Seed,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,0,2018
Doubtnut,E-Learning,Seed,Gurgaon,Gurgaon based E-learning platform.,511000.0,2018
MCaffeine,Consumer Goods,Seed,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,467200.0,2018
TrustCheckr,Information Technology,Angel,Bengaluru,A Bengaluru-based fraud analytics solution provider .,100000,2018
HealthAssure,Fitness,Seed,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,1000000,2018
Picture TIme,Digital Entertainment,Seed,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.,3650000.0,2018
1Crowd,Crowdsourcing,Angel,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,3500000,2018
Aarav Unmanned Systems,Delivery,Seed,Bangalore,Professional Drones for Enterprise Applications,0,2018
Wellthy Therapeutics Pvt Ltd,Health Care,Seed,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",1971000.0,2018
Nua,Consumer Goods,Seed,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,0,2018
Kuvera.in,Financial Services,Angel,Bangalore,An online platform for mutual fund investments.,250000,2018
Livehealth,Health Care,Seed,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,1100000,2018
Gramophone,Farming,Seed,Indore,An agricultural inputs startup Company.,1000000,2018
Ora,Business Travel,Seed,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,0,2018
Buddy4Study.com,Career Planning,Series A,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,3000000,2018
Predible Health,Medical Device,Seed,Bangalore,Healthcare devices for cancer detection,0,2018
Syncremedies Healthcare Pvt Ltd,Alternative Medicine,Seed,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",0,2018
Blueleaf Cyberspace Systems,Internet,Seed,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company.,0,2018
Toffee,—,Seed,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",1500000,2018
ORO Wealth,—,Series A,Mumbai,Online wealth management platform,1600000,2018
HealWell24,Dental,Seed,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",200000,2018
Acko General Insurance,Financial Services,Series A,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,12000000,2018
arzooo.com,Consumer Electronics,Seed,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,219000.0,2018
Bonphul Air Products,CleanTech,Angel,Delhi,A clean tech product Company,292000.0,2018
DheeYantra Research Labs,Artificial Intelligence,Seed,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",0,2018
Edyoo,Education,Seed,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",1000000,2018
Chtrbox,Advertising,Angel,Mumbai,Chtrbox connects social media influencers with brands .,146000.0,2018
Aashiyaan Housing and Development Finance,Financial Services,Seed,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,1971000.0,2018
BetterPlace Safety Solutions Pvt. Ltd.,Human Resources,Series A,Bangalore City,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",3000000,2018
Cashkumar,Consumer Lending,Seed,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,730000.0,2018
Rocketium,Marketing,Seed,Bangalore,Easy video creation for social media.,292000.0,2018
FreightBazaar,Transportation,Seed,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,0,2018
OPEN,Banking,Seed,Bangalore,Open up to a new world of Banking,0,2018
mfine,Health Care,Series A,Bengaluru,Hospital & Health Care Start up,4200000,2018
Earth Food,Food and Beverage,Seed,Pune,Earth Food is a healthy Food Start Up.,934400.0,2018
Charcoal Eats,Food Processing,Seed,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.,730000.0,2018
Wishfie,Apps,Seed,Bangalore,A platform for people to express their opinions in form of short videos around any topic.,0,2018
The Social Hook,Marketing,Seed,Bengaluru,Fast growing Influencer Marketing platform in India.,0,2018
FreightBro,Apps,Seed,Mumbai,Software for the new-age freight,0,2018
Finwego,—,Seed,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,0,2018
Cricnwin,Digital Entertainment,Seed,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform,0,2018
TheCollegeFever,Brand Marketing,Seed,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000,2018
Wicked Ride Adventure Services Private Limited,Automotive,Venture - Series Unknown,Bangalore,Peer-to-Peer motor vehicles sharing,$10000000,2018
Career Anna,Commercial,Seed,Bangalore,India's Go to Career Commerce Portal,584000.0,2018
ERUDITUS Executive Education,Continuing Education,Series C,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",$40000000,2018
Gaia Smart Cities,Smart Cities,Seed,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,0,2018
Square Off,Internet of Things,Seed,Mumbai,Delivering Imagination,$1100000,2018
UrbanClap,Apps,Series D,Delhi,UrbanClap is India's leading managed marketplace for home services.,$50000000,2018
Hospals,Medical,Seed,New Delhi,Hospals is a medical tourism company.,$1500000,2018
Kogta Financial India Limited,Financial Services,Series B,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,22484000.0,2018
Perspectico,Career Planning,Seed,New Delhi,An Education Management startup.,0,2018
The Souled Store,Fashion,Venture - Series Unknown,Mumbai,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",$3000000,2018
Hush - Speak Up. Make Work Better,Communities,Seed,Bangalore,Enabling diversity of opinions in organizations,657000.0,2018
Drivezy,Automotive,Debt Financing,Bengaluru,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,$100000000,2018
Freyr Energy,Energy,Series A,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",$1500000,2018
NIRAMAI Health Analytix,Health Care,Seed,Bangalore,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,$6000000,2018
CloudSek,Information Technology,Seed,Bengaluru,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,2044000.0,2018
Lendbox,Crowdfunding,Seed,Delhi,Lendbox is India's leading peer-to-peer lending online lending platform.,876000.0,2018
Verloop,Customer Service,Series A,Bangalore,Verloop is an automated customer support and engagement platform.,$3000000,2018
Flickstree,Advertising,Seed,Mumbai,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",0,2018
Paymatrix,Credit Cards,Seed,Hyderabad,India's Leading Property Rent management platform,$100000,2018
Idha Skin Clinic,Beauty,Seed,Bangalore City,Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,73000.0,2018
InCred,Banking,Private Equity,Mumbai,InCred Finance is a mumbai-based non-banking financial company,$41900000,2018
Vedantu,EdTech,Series B,Bangalore,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,$11000000,2018
Sportido,Social Media,Seed,Noida,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,0,2018
Stelis Biopharma,Biopharma,Series B,Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company,$100000000,2018
Magicpin,E-Commerce,Series C,Gurgaon,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",20586000.0,2018
Try & Buy,E-Commerce,Seed,New Delhi,Try & Buy,0,2018
Mech Mocha,Digital Entertainment,Series B,Bangalore,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,$3530000,2018
Aye Finance,Finance,Debt Financing,Gurgaon,Aye Finance provides financial services to micro and small businesses in Northern India.,1051200.0,2018
Aldopay,Mobile Payments,Seed,Chennai,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,$200000,2018
Detect Technologies,Artificial Intelligence,Series A,Chennai,Completely automated remote control system.,$3300000,2018
Signzy,Computer,Series A,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,3504000.0,2018
CashRich,Apps,Seed,Mumbai,A Mumbai-based fin-tech startup,$1000000,2018
Cloudnine Hospitals,Child Care,Private Equity,Bangalore,Cloudnine is an Indian chain of women and child care hospitals.,0,2018
CropIn Technologies,Agriculture,Series B,Bengaluru,"To discover, develop and deliver innovative solution in Agtech Space",8468000.0,2018
Billdesk,Finance,Venture - Series Unknown,Ahmedabad,"BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",0,2018
Yaantra,Information Services,Debt Financing,Delhi,"Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",$2000000,2018
TECHBOOZE,Education,Seed,New Delhi,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",$100000,2018
HealthifyMe,Apps,Series B,Bangalore,HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,$6000000,2018
hoi foods,Food and Beverage,Seed,Gurgaon,India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,525600.0,2018
Perpule,Apps,Series A,Bangalore,Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,4964000.0,2018
Royal Sundaram General Insurance Co. Limited,Health Insurance,Corporate Round,Kalpakkam,"Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",$210000000,2018
CleanseCar,Automotive,Angel,Bangalore,CleanseCar is a company provides Washing and Repair Services.,511000.0,2018
DRIVEU,Rental,Venture - Series Unknown,Bengaluru,DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,1022000.0,2018
Spinny,E-Commerce,Series A,Gurgaon,Used cars marketplace in India. Ushering new era of transparency and convenience.,$11000000,2018
Asset Reconstruction Company (India) Ltd.,Financial Services,Secondary Market,Mumbai,Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,0,2018
Med365 Healthcare,Health Diagnostics,Seed,Jaipur,"Wellness, Specialised Testing, Healthcare at Home",730000.0,2018
Dunzo,Customer Service,Debt Financing,Bangalore,Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,1022000.0,2018
Mobile Premier League (MPL),Gaming,Series A,Bengaluru,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,$5000000,2018
WalMart India,Retail,Venture - Series Unknown,Gurgaon,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",$37680000,2018
Cred,—,Seed,Bengaluru,Cred is a platform to celebrate and reward the most creditworthy people of India.,0,2018
Meesho,E-Commerce,Series C,Bangalore,"Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",$50000000,2018
BhaskarGuru,Search Engine,Seed,Bhopal,Bhaskarguru.com is your local search Engine,$1000000,2018
Gugu,Battery,Seed,Coimbatore,Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,$250000,2018
FarmTaaza,Agriculture,Series A,Bengaluru,Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,0,2018
Vizzbee,Artificial Intelligence,Pre-Seed,Bhopal,Autonomous Drone Solutions for last mile delivery as well as search and rescue,$20000,2018
BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,Bangalore,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,$900000,2018
Mobycy,Fitness,Angel,Gurgaon,India's 1st Dockless Bicycle Sharing App,0,2018
Traveo Soft Pvt. Ltd.,Mobile,Undisclosed,Bangalore,AI based Business Travel & Expense management,17520.0,2018
Em Personal Care,Cosmetics,Seed,Worli,Em Personal Care is a Cosmetic products manufacturing Company.,0,2018
Lucideus,Consulting,Venture - Series Unknown,New Delhi,"Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",5000000,2018
Eupheus Learning,E-Learning,Seed,Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,0,2018
GamingMonk,eSports,Series A,New Delhi,"GamingMonk is an eSports gaming company based out of New Delhi, India.",584000.0,2018
Sukkhi Jewellery,Fashion,Venture - Series Unknown,Mumbai,Sukkhi Jewellery is a Contemporary fashion jewellery brand.,7446000.0,2018
INDwealth,Financial Services,Seed,Gurgaon,INDwealth is an Artificial Intelligence (AI) powered wealth management company,32120000.0,2018
Medikabazaar,B2B,Series A,Mumbai,India's largest medical and surgical supplies marketplace,5000000,2018
NIRA,Credit,Seed,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",1000000,2018
Duroflex Pvt. Ltd.,Consumer Goods,Private Equity,Alleppey,Duroflex Pvt. Ltd. operates as a dominant mattress player.,22000000,2018
Clensta,Biotechnology,Seed,New Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,0,2018
Jetbrain Robotics,Health Care,Seed,Gurgaon,"Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",70000,2018
Medimetry,Health Care,Seed,Haryana,"MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",0,2018
Healthkart,E-Commerce,Venture - Series Unknown,Gurgaon,"The one stop shop for health, fitness & beauty.",10000000,2018
Indiabulls Ventures,Financial Services,Post-IPO Equity,Mumbai,Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,224723200.0,2018
Vistara,Aerospace,Private Equity,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),292000000.0,2018
ClearTax,Accounting,Series B,New Delhi,ClearTax India helps individuals prepare and e-file their Income Tax Return online.,58400000.0,2018
Shuttl,Apps,Debt Financing,Gurgaon,"Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",1000000,2018
GuruQ,Reading Apps,Seed,New Delhi,A one of its kind digital integrated platform connecting tutors and students.,365000.0,2018
Azure Power,Energy,Post-IPO Equity,New Delhi,"Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",185000000,2018
Cube,Banking,Series A,Mumbai,Cube is consumer banking focused fintech company.,2044000.0,2018
RAHI Care,Health Care,Venture - Series Unknown,Chandigarh,RAHI Care is a Health Care company.,0,2018
Mynvax,Biotechnology,Angel,Bangalore,Mynvax is a biotech Company.,0,2018
Loans4SME,Financial Services,Seed,Mumbai,Loans4SME is an alternative lending platform.,0,2018
UpCyclersLab,Apps,Seed,Mumbai,UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,0,2018
Cellerite Systems,Electric Vehicle,Seed,Hyderabad,Cellerite Systems is a charging solutions provider for electric vehicles.,0,2018
Taru Naturals,Agriculture,Seed,Mumbai,Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,0,2018
LetsMD,Fitness,Seed,New Delhi,LetsMD.com is a marketplace for elective surgeries,1000000,2018
Twenty Two Motors,Automotive,Corporate Round,Haryana,Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,65000000,2018
Truebil,Automotive,Series A,Mumbai,"Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",2000000,2018
FarmersFZ,Agriculture,Seed,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,0,2018
Worxogo,Information Technology,Series A,Bangalore,worxogo’s is a pioneering persuasive technology products align employee behaviours .,2409000.0,2018
Vivish Technologies (myGate),Apps,Series A,Bengaluru,India's leading mobile based security management solution .,9490000.0,2018
Singularity Dynamics,Artificial Intelligence,Seed,Bengaluru,Singularity Dynamics is a Chip-design testing startup.,0,2018
Virtual MetalStreet(MetalStreet),B2B,Angel,Bengaluru,Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,700000,2018
Veritas Finance,Financial Services,Venture - Series Unknown,Guindy,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,30000000,2018
Manjushree Technopack,Packaging Services,Private Equity,Bangalore,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,0,2018
GoZefo,Computer,Venture - Series Unknown,Bangalore,Startup working on a white space in the eCommerce industry.,3066000.0,2018
Zomato,Food Delivery,Secondary Market,Gurgaon,Zomato is a search app offering detailed information for restaurants as well as online food delivery.,210000000,2018
Innov8 Coworking,Collaboration,Seed,New Delhi,Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,4000000,2018
RevFin,Accounting,Seed,Delhi,RevFin is a digital lending company.,0,2018
Lavelle Networks,Cloud Computing,Venture - Series Unknown,Bengaluru,Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,292000.0,2018
Blackbuck,Information Services,Series D,Bengaluru,Blackbuck is a logistics startup based in India.,29632160.0,2018
Cardekho,Automotive,Series C,Gurgaon,Cardekho is a car search venture that helps users buy cars that are right for them.,75000000,2018
ElasticRun,Delivery,Series B,Pune,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,8760000.0,2018
Droom Technology Private Limited,Automotive,Series E,Gurgaon,Droom is a marketplace for automobiles and automobile services.,30000000,2018
Vogo Rentals,Last Mile Transportation,Debt Financing,Kormangala,Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,1168000.0,2018
InnerChef,Cooking,Venture - Series Unknown,Gurgaon,InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,1760000,2018
LivQuik,FinTech,Corporate Round,Mumbai,LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,2700000,2018
Disprz,E-Learning,Debt Financing,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",400000,2018
9stacks,Online Games,Series A,Delhi,Online gaming startup.,4088000.0,2018
Origo,—,Venture - Series Unknown,Gurgaon,"Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",11680000.0,2018
YourOwnROOM,Online Portals,Seed,Bangalore,"Good quality, strategically located homes closer to work for millennials",750000,2018
Vahdam Teas,E-Commerce,Series B,New Delhi,Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,2500000,2018
Spoofin,Music,Venture - Series Unknown,New Delhi,A social networking app that lets you create and view Spoofs of your favourite videos.,0,2018
Strom Motors,Automotive,Angel,Mumbai,Strom Motors is a smart urban mobility Company.,0,2018
PharmEasy,Health Care,Series C,Mumbai,PharmEasy - Indias largest healthcare delivery platform,80000000,2018
Licious,Delivery Service,Series C,Bengaluru,"Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",25000000,2018
Stanza Living,Hospitality,Venture - Series Unknown,New Delhi,Stanza Living is a co-living platform created for students moving to a new place.,10658000.0,2018
docturnal,Biotechnology,Seed,Hyderabad,"Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",0,2018
Bounce (Metro Bikes),Autonomous Vehicles,Debt Financing,Bangalore,"Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",3000000,2018
