,Company/Brand,Amount($),Year of Funding
882,Hypto,3000000.0,2021
1148,MaxWholesale,3000000.0,2020
1317,OWO Technologies,3000000.0,2021
1731,Sourcewiz,3000000.0,2021
2022,Vital,3000000.0,2021
644,Financepeer,3000000.0,2020
2057,Wealth Bucket,3000000.0,2020
1740,Specsmakers,3000000.0,2020
1753,Spry,3000000.0,4042
42,Aerchain,3000000.0,2021
40,AdonMo,3000000.0,2020
2023,VitalTech,3000000.0,2020
678,Flick Stree,3000000.0,2020
857,Holisol,3000000.0,2021
1010,Kisan Network,3000000.0,2020
757,Glamyo Health,3000000.0,2021
443,DGV,3000000.0,2021
1604,SP Robotic Works,3000000.0,2021
1982,VRO Hospitality,3000000.0,2021
1605,SSA Finserv,3000000.0,2021
726,GPS Renewables,3000000.0,2020
1911,Trica,3000000.0,2021
1997,Veefin,3000000.0,2021
418,Crejo.Fun,3000000.0,2021
1802,SuperOps.ai,3000000.0,2021
334,Circle of Angels,3000000.0,2020
832,Headfone,3000000.0,2021
1834,Tamasha,3000000.0,2021
1116,Lysto,3000000.0,2021
1823,TABLT,3000000.0,2021
186,Betterhalf.ai,3000000.0,2021
1698,Skylark Drones,3000000.0,2021
1805,Superpro.ai,3000000.0,2021
177,BeepKart,3000000.0,2021
262,Bueno Finance,3000000.0,2021
1260,Neeman,3000000.0,4041
1394,Peel-Works,3000000.0,2020
288,Candes,3000000.0,2021
1392,Pee Safe,3000000.0,2021
221,BlackSoil NBFC,3000000.0,2021
496,Doola,3000000.0,2021
557,ElectricPe,3000000.0,2021
555,Elda Health,3000000.0,4042
12,88academics,3000000.0,2021
585,Etrio,3000000.0,2020
1359,Oye Rickshaw,3000000.0,2021
1226,Muse Wearables,3000000.0,2020
1440,PlayerzPot,3000000.0,2020
1217,Moneyboxx,3000000.0,2021
1333,Oliveboard,3000000.0,2021
775,Gobillion,2900000.0,2021
850,High Street Essentials,2743000.0,2020
406,CredRight,2700000.0,2021
1622,Samosa Singh,2700000.0,2020
103,Arcana,2670000.0,4042
194,Biddano,2600000.0,4041
571,Enmovil,2600000.0,4042
628,Fantasy Akhada,2600000.0,4042
654,Fintso,2600000.0,2020
578,Epigamia,2558000.0,2020
781,GoodGamer,2500000.0,2020
1586,Rulezero,2500000.0,2021
1942,Udayy,2500000.0,2021
1896,Toplyne,2500000.0,2021
992,Karnival,2500000.0,2021
1828,TWID,2500000.0,2021
240,Bombay Play,2500000.0,4040
956,Invideo,2500000.0,2020
370,Coin DCX,2500000.0,2020
374,Coinshift,2500000.0,2021
697,Fox Capital,2500000.0,2020
61,AjnaLens,2500000.0,4040
1,1Bridge,2500000.0,2021
482,Digantara,2500000.0,2021
2090,Wobot Intelligence,2500000.0,2020
561,Eloelo,2450000.0,4041
1417,Phononic Vibes,2300000.0,2020
304,CashBook,2300000.0,2021
713,Frontier Markets,2250000.0,2020
1337,Onato,2200000.0,2021
298,CareerLabs,2200000.0,2021
21,ANS Commerce,2200000.0,2021
1149,Maya,2200000.0,2021
1904,TravClan,2200000.0,2021
919,IndyFint,2100000.0,2019
1295,NoBroker.com,2100000.0,2021
182,BestDoc,2100000.0,2020
1626,Sanfe,2100000.0,4041
195,Big Bang Boom Solutions,2050000.0,4040
615,FabHotels,2030000.0,4040
1098,LoadShare,2004000.0,2020
1408,PetPooja,2000000.0,2020
620,Factors.AI,2000000.0,2021
239,Bombay Hemp Company,2000000.0,2021
341,Clairvolex,2000000.0,2020
727,GTM Buddy,2000000.0,2021
1849,TechnifyBiz,2000000.0,2020
2103,Wysh,2000000.0,2020
2052,We Founder Circle,2000000.0,2021
2081,Winzo,2000000.0,2020
189,BeyondSkool,2000000.0,2021
214,BitClass,2000000.0,2020
74,Amica,2000000.0,2020
1180,Method & Madness,2000000.0,2021
9,4baseCare,2000000.0,2021
224,BlissClub,2000000.0,2021
1873,The Viral Fever,2000000.0,2021
1008,Kirana247,2000000.0,4042
761,GlobalFair,2000000.0,2021
1926,TrulyMadly,2000000.0,2021
764,Go Swift,2000000.0,2021
608,FITTR,2000000.0,2020
1042,Kutuki,2000000.0,2021
604,EyeMyEye,2000000.0,2021
1580,Routematic,2000000.0,2020
748,Genworks Health,2000000.0,2021
1607,SUGAR cosmetics,2000000.0,2020
744,Geniemode,2000000.0,2021
559,Elevar,2000000.0,2021
1029,Kratikal,2000000.0,4038
1963,Unotech,2000000.0,2020
1965,Uolo,2000000.0,2020
722,FypMoney,2000000.0,2021
796,GrowFix,2000000.0,2021
1254,Nao Spirits & Beverages Pvt Ltd,2000000.0,2021
1567,Rheo,2000000.0,2020
845,Hesa,2000000.0,2021
197,BigHaat,2000000.0,2020
147,Awon GameZ,2000000.0,2021
1591,Ruptok Fintech,2000000.0,2021
1515,QuickSell,2000000.0,2021
945,Instasolv,2000000.0,2020
856,Hoi Foods,2000000.0,2020
31,Able Jobs,2000000.0,2020
229,Blue Tokai Coffee Roasters,2000000.0,2021
2191,ideaForge,2000000.0,2021
1134,Mailmodo,2000000.0,2021
399,CreatorStack,2000000.0,2021
125,Auric,2000000.0,2021
57,Aibono,2000000.0,2020
613,Faarms,2000000.0,2021
1774,Stones2milestones,2000000.0,2020
2036,WESS,2000000.0,2021
1197,Mintoak,2000000.0,2020
1765,StayQrious,2000000.0,2020
2197,kWh Bikes,2000000.0,2021
1708,Slurrp Farm,2000000.0,2020
682,Flipspaces,2000000.0,2021
1278,Nexprt,2000000.0,2021
199,BigSpoon Foods,2000000.0,2020
2178,goEgoNetwork,2000000.0,2021
30,Aavenir,2000000.0,2020
1485,Proeon,2000000.0,2021
1353,Origa,2000000.0,2020
404,CredFlow,2000000.0,2021
546,Edukemy,2000000.0,2021
1449,Pocket Aces,2000000.0,2021
24,ASQI Advisors,2000000.0,4042
1115,Lumiq,2000000.0,2021
369,Cogos Technologies,2000000.0,2021
695,Fountain9,1900000.0,2021
2134,Zenduty,1900000.0,2021
1424,Piggy Ride,1862000.0,2020
648,Fingerlix,1834000.0,2020
1684,SimpliContract,1800000.0,2021
2047,Wasabi,1800000.0,2021
1984,Vah Vah!,1800000.0,2021
441,Cuvette Tech,1800000.0,2021
1275,NewsReach,1800000.0,4041
1350,Optimized Electrotech,1800000.0,2021
1023,KoineArth,1800000.0,2021
2031,Voiro,1800000.0,2021
2088,WizKlub,1782530.0,4041
366,Codingal,1760000.0,6062
1451,Pocket52,1750000.0,2020
2177,goDutch,1700000.0,2020
1076,Let's Dive,1700000.0,2020
998,Kenko Health,1700000.0,2021
782,Goodmeetings,1700000.0,2021
1504,QTalk,1600000.0,2020
996,Keka HR,1600000.0,2021
977,Junio,1600000.0,4042
804,Gumlet,1600000.0,2021
1816,Swajal,1600000.0,2021
1437,Planys,1600000.0,2021
1932,Turnip,1600000.0,2021
1292,Nivesh,1600000.0,2021
1679,SignalX,1550000.0,4040
931,InnAccel,1500000.0,2020
1712,Smart Institute,1500000.0,2019
899,ImaginXP,1500000.0,2021
490,Do Your Thng,1500000.0,2021
1562,Rephrase.ai,1500000.0,2020
1970,UptimeAI,1500000.0,2021
87,Anvidha Technologies,1500000.0,2021
1651,Seekify,1500000.0,2019
1763,Stanplus,1500000.0,2020
1851,Tekie,1500000.0,2021
287,Cancer Clinics,1500000.0,2021
990,Karkhana.io,1500000.0,2021
1225,Murf.ai,1500000.0,2021
1096,Livve,1500000.0,2020
1837,TapChief,1500000.0,2019
1185,Mihup,1500000.0,2020
1385,Paytail,1500000.0,2021
923,Infilect,1500000.0,2020
2105,Xpand,1500000.0,2021
1527,RENEE Cosmetics,1500000.0,2021
966,Jeevam Health,1500000.0,2021
34,AcknoLedger,1500000.0,2021
1144,MasterMentors,1500000.0,2021
1470,PredictiVu,1500000.0,2021
973,Josh Talks,1500000.0,2020
997,Ken42,1470000.0,2020
947,Insurance Samadhan,1450000.0,4042
1674,ShopX,1410000.0,2020
426,Crysta,1403400.0,2020
1418,Phool.co,1400000.0,4041
1840,Taskmo,1400000.0,2021
486,DillyHub,1400000.0,2020
783,Goodmylk,1400000.0,4041
1888,Toch,1400000.0,4040
1964,Unremot,1400000.0,4042
774,Gobbly,1400000.0,4041
1236,MyMobiForce,1400000.0,2021
1496,PumPumPum,1353000.0,8082
2189,iNurture,1340000.0,2020
302,Cars24,1328000.0,2020
1018,Knorish,1323000.0,4041
1788,SucSEED,1300000.0,2020
203,Bikry app,1300000.0,2021
1397,Penny,1300000.0,2020
985,Kafqa Academy,1300000.0,2021
2116,Yellow Classes,1300000.0,2020
881,Hyperface,1300000.0,2021
2137,Zerone,1300000.0,2021
259,Brinton,1300000.0,2020
633,Farmers Fresh Zone,1270000.0,4041
2157,Zotalabs,1250000.0,2021
1035,Krimanshi,1220000.0,6060
1809,SupplyNote,1200000.0,2021
68,Alpha Coach,1200000.0,2021
964,Janani,1200000.0,4041
2120,Yolo,1200000.0,4040
1490,PropReturns,1200000.0,2021
802,Gully Network,1200000.0,2020
489,Dista,1200000.0,2021
10,5C Network,1200000.0,2020
228,Blue Sky Analytics,1200000.0,2020
535,Earth Rhythm,1200000.0,2021
1157,MedPay,1200000.0,2021
1467,Prayaan Capital,1200000.0,2020
258,Brila 91,1200000.0,2020
1762,StackBOX,1200000.0,2021
247,BookingJini,1200000.0,2021
2204,moneyHOP,1200000.0,2021
1969,Upside AI,1200000.0,2021
1100,LoanKuber,1200000.0,2021
707,Freshokartz,1150000.0,4039
548,Edvizo,1150000.0,4041
963,Jambox Games,1100000.0,2021
1826,TREAD,1100000.0,2020
519,DusMinute,1100000.0,2021
1051,Lal10,1100000.0,2020
1955,Univariety,1100000.0,2020
1865,The Indus Valley,1100000.0,2021
277,CHUPPS,1100000.0,2021
8,4Fin,1100000.0,2021
2161,Zuper,1100000.0,2020
107,Arth Designbuild,1100000.0,2020
582,EsportsXO,1100000.0,2021
1506,Qapita,1080000.0,2020
316,Chai Waale,1070000.0,6061
1719,SmarterBiz,1065000.0,2020
2183,i3 Systems,1050000.0,2020
437,CuriousJr,1000000.0,2021
2203,moEVing,1000000.0,2021
824,Hapramp,1000000.0,2020
1879,Thingsup,1000000.0,2021
75,AnKa SumMor,1000000.0,2021
789,GrayQuest,1000000.0,2020
101,Arata,1000000.0,2020
392,Countingwell,1000000.0,2020
1864,The Hosteller,1000000.0,2021
1759,Sreyas Holistic Remedies,1000000.0,2020
108,Arthya Wealth and Investments,1000000.0,2021
672,Flatheads,1000000.0,4042
600,Express Stores,1000000.0,2021
668,Fixcraft,1000000.0,2021
2071,WiT-ACE,1000000.0,2021
526,EM3 Agri,1000000.0,2020
528,ERPNext,1000000.0,2020
674,Fleek,1000000.0,2021
2110,Xtracap,1000000.0,2020
814,Hakuna Matata,1000000.0,2021
1869,The Sleep Company,1000000.0,2021
477,Devic Earth,1000000.0,2021
885,IBSFINtech,1000000.0,2021
39,AdmitKard,1000000.0,2021
2192,immunitoAI,1000000.0,2021
592,Evenflow Brands,1000000.0,4042
603,ExtraaEdge,1000000.0,2021
715,Fuel Buddy,1000000.0,2021
2094,WoodenStreet,1000000.0,2020
1822,Syook,1000000.0,2021
117,Assiduus,1000000.0,2020
1959,Unlu,1000000.0,2021
843,HempStreet,1000000.0,2020
714,Froogal,1000000.0,2019
1832,Taikee,1000000.0,2021
2125,Yu Foodlabs,1000000.0,2021
2179,goSTOPS,1000000.0,2021
1931,TurboHire,1000000.0,4041
422,Crofarm,1000000.0,2020
560,Elixia Tech Solutions,1000000.0,2021
1900,Totality,1000000.0,2021
1898,Toppersnotes,1000000.0,2021
2173,eJOHRI,1000000.0,2019
596,Excess2Sell,1000000.0,2020
537,Easiloan,1000000.0,2021
639,Fedo,1000000.0,2020
776,Godamwale,1000000.0,2021
626,Fanball XI,1000000.0,2020
692,Forbidden Foods,1000000.0,2020
1842,TaxBuddy.com,1000000.0,2020
753,Gig India,1000000.0,2020
2012,Vidyakul,1000000.0,4042
2019,Vista Rooms,1000000.0,2021
1801,SuperMoney,1000000.0,2020
637,Fashor,1000000.0,2020
2003,Verandah,1000000.0,2021
512,Dropshop,1000000.0,2021
1167,Medpho,1000000.0,2021
1193,Mindler,1000000.0,2021
1257,Navia Life Care,1000000.0,2021
1539,Raskik,1000000.0,2020
1510,QuaQua,1000000.0,2020
1104,Locale.ai,1000000.0,2021
1245,NFTically,1000000.0,4042
335,CityCash,1000000.0,2020
1127,MYFITNESS,1000000.0,2021
1573,Rockclimber,1000000.0,2021
1700,Skymet,1000000.0,2021
1611,Saarthi Pedagogy,1000000.0,2021
1032,Kredent,1000000.0,2021
1395,Pencil,1000000.0,2021
1678,Shyplite,1000000.0,2021
1227,Muvin,1000000.0,2021
1716,SmartKarrot,1000000.0,2020
1124,MSMEx,1000000.0,2021
935,Innerchef,1000000.0,2020
1126,MYBYK,1000000.0,2021
225,Blive,1000000.0,2021
1432,Pixuate,1000000.0,2021
1037,Krishitantra,1000000.0,2020
1729,Solethreads,1000000.0,2021
217,Bizlog,1000000.0,2020
959,Ishitva,1000000.0,2021
1585,RuleZero,1000000.0,2021
1641,Say Cheese,1000000.0,2021
1745,Spoonshot,1000000.0,2020
156,BHIVE Investech,1000000.0,2020
138,Aviom Housing Finance,1000000.0,2021
168,Bandhoo,1000000.0,2021
1302,Now&Me,1000000.0,2021
1650,SeeVC,1000000.0,2021
1218,Moneyboxx Finance,1000000.0,2020
1283,NimbleBox.ai,1000000.0,2021
1005,Kiko Live,1000000.0,2021
1603,SOAL,1000000.0,2020
1606,STAGE,1000000.0,2020
1064,LearnVern,1000000.0,2021
1550,Refrens,1000000.0,2020
1137,Manch Technologies,1000000.0,2021
1544,ReadyAssist,1000000.0,2021
1067,Legal Salah,1000000.0,2020
754,GigIndia,971000.0,2020
421,Crio,934000.0,2020
1142,MasterChow,922000.0,4042
1844,TeaMonk,900000.0,2020
993,Kazam,900000.0,2021
1991,Vanity Wagon,900000.0,4042
98,Aqgromalin,900000.0,4041
1007,Kirana King,900000.0,2020
922,Inficold,900000.0,2021
1901,Tracxn,887000.0,2020
319,Chara,850000.0,2021
2198,leap.club,810000.0,2021
413,CreditMantri,803146.0,2020
1583,Rubix Data Sciences,800000.0,2021
1800,SuperK,800000.0,2021
825,Haqdarshak,800000.0,2021
1887,Tinkerly,800000.0,2021
1270,NeuroPixel.AI,800000.0,2021
352,Clientjoy,800000.0,2020
1813,Svami,800000.0,2020
1812,Suryoday,800000.0,2020
940,Insane AI,800000.0,2021
1509,Qoohoo,800000.0,2021
728,GUVI,800000.0,2020
1530,RaRa Delivery,800000.0,2020
1783,Studio Sirah,800000.0,2021
411,Credit Mantri,792000.0,2020
806,Guvi Geek Network Pvt Ltd,786000.0,2020
1516,QuickShift,770000.0,2021
743,GenieTalk,750000.0,2020
110,Artium Academy,750000.0,2021
584,Ethereum Push Notification Service,750000.0,2020
1495,Pulse,750000.0,2020
1742,Spintly,748000.0,4041
1009,KiranaKart,720000.0,2021
1537,Raptee Energy,700000.0,2021
1027,Koparo,700000.0,2021
398,Crater.Club,700000.0,2021
1830,TagMango,700000.0,2020
171,BankSathi,700000.0,4042
1230,MyDentalPlan,700000.0,2021
770,GoSats,700000.0,2021
2175,eShipz,700000.0,2021
921,Infeedo,700000.0,2020
2168,bitsCrunch,700000.0,2021
238,Bolo Indya,700000.0,4040
618,Fabriclore,700000.0,2021
602,Extra Edge,700000.0,2020
1176,MergerDomo,697000.0,4041
137,Aviom,682000.0,2020
1304,NuNu TV,670000.0,2020
449,Daalchini,669000.0,2020
329,ChitMonks,650000.0,2020
1858,Text Mercato,649600.0,2020
762,Go Desi,627300.0,2020
367,CoffeeMug.ai,620000.0,2021
1147,Max wholesale,603000.0,2020
17,ABL Workspaces,600000.0,2021
33,Acculi Labs,600000.0,2020
342,ClanConnect,600000.0,2020
388,Cora Health,600000.0,4042
943,Inspektlabs,600000.0,2020
478,Devnagri,600000.0,2021
86,Anveshan,600000.0,4041
1597,SAWO Labs,600000.0,2020
1070,Legitquest,600000.0,2021
141,Avishkaar,600000.0,2021
290,Capital Quotient,600000.0,2020
198,BigLeap,600000.0,2021
819,HappyCredit,600000.0,2021
691,FoodyBuddy,600000.0,2020
1229,MyClassboard,600000.0,2020
2208,qZense,600000.0,2020
812,Habitat,600000.0,2020
983,Kaagaz Scanner,575000.0,2020
521,D’Moksha Homes,570000.0,2021
283,Callify.ai,560000.0,2020
1024,Kolo,550000.0,2021
785,Gradeup,546000.0,2020
803,GullyBuy Software,543000.0,2020
1930,Tummoc,540000.0,2021
1956,Universal Sportsbiz,530000.0,2020
1478,ProEves,507000.0,2020
1069,Legalwiz.in,500000.0,2021
176,Beco,500000.0,2021
1950,UnboxRobotics Labs,500000.0,2020
434,CureSkin,500000.0,2020
1592,RuralBasket,500000.0,2020
1036,Krimanshi Feeds,500000.0,2020
1569,RiseBird,500000.0,2021
1594,SALT,500000.0,2021
670,FlashPrep,500000.0,2021
1638,Satyukt,500000.0,2020
1810,Supplynote,500000.0,2020
898,Imagimake,500000.0,4042
532,EarnWealth,500000.0,2021
538,EasyAspataal,500000.0,2021
1349,Openapp,500000.0,2020
1734,Spaciya Consultants,500000.0,2020
887,IGL,500000.0,2021
128,Automovill,500000.0,2021
1264,Neokred,500000.0,2021
1787,Stylework,500000.0,2021
1220,MoooFarm,500000.0,2020
1796,Super Surfaces,500000.0,2020
1215,Monet Networks,500000.0,2020
1441,Playo,500000.0,2021
1557,Remedico,500000.0,2021
1442,Playto Labs,500000.0,2021
310,Celcius,500000.0,4042
55,AgroWave,500000.0,2020
340,Clairco,500000.0,2021
1868,The New Shop,500000.0,2020
166,Bambinos,500000.0,2021
822,HappyLocate,500000.0,2020
1847,TechEagle,500000.0,2021
313,Cellestial,500000.0,2021
460,DcodeAI,500000.0,2021
2038,WINDO,500000.0,2021
658,Firescore,500000.0,2020
2041,Wagonfly,500000.0,2020
205,BimaPe,500000.0,2021
1480,Probus,500000.0,2021
429,Cube Wealth,500000.0,2020
384,Consure Medical,480000.0,2020
1785,StyleDotMe,467000.0,2020
778,GoldenPi,459000.0,2020
131,AvalonMeta,420000.0,2020
1391,Pedagogy,400000.0,2020
2145,Zingavita,400000.0,2021
606,Ezstays,400000.0,2021
1087,Lil’ Goodness and sCool meal,400000.0,2019
2109,Xpresslane,400000.0,2021
818,Happy Jars,400000.0,2021
1735,Spardha,400000.0,2021
1798,SuperBottoms,400000.0,2021
231,BlueLearn,400000.0,2021
721,Fyllo,400000.0,2021
2112,YPay,400000.0,2021
1780,Strip Finance,400000.0,2021
693,ForeignAdmits,400000.0,2021
1243,NCOME,400000.0,2020
1426,PingoLearn,400000.0,4042
127,AutomataPi,400000.0,2021
683,Flo Mobility,400000.0,2021
1175,Mera Cashier,400000.0,4040
396,Cover it Up,400000.0,2020
958,IsGoingOnline,400000.0,4042
2076,Wiingy,400000.0,2021
1314,ORAI,400000.0,2021
1750,Spottabl,400000.0,2021
1747,SportZchain,400000.0,2021
1815,Svish,400000.0,2021
901,Imstrong,400000.0,2020
124,Auntie Fung,400000.0,2021
779,Gonuts,400000.0,2020
1546,Reccy Adventures,400000.0,2021
1364,O’ Be Cocktails,400000.0,2021
1174,Mentza,400000.0,2021
1934,Tvasta,400000.0,2021
381,Comofi Medtech,400000.0,4042
1420,Pickright Technologies,375000.0,4041
1271,Neverinstall,370000.0,2021
255,BricSpaces,350000.0,2021
2124,YourPhysio,350000.0,2021
1863,The Health company,350000.0,2020
450,Daily Ninja,349800.0,2020
2073,WickedGud,340000.0,2021
969,Jidoka Technologies,340000.0,2021
1978,Uvi Health,330000.0,2021
1396,Pencilton,330000.0,2021
1327,Oga,330000.0,2020
1520,Quintype Technologies,325000.0,2020
439,CustomerGlu,320000.0,2021
734,GameEon Studios,320000.0,2021
809,Habbit,320000.0,2021
1399,Pepper,306900.0,2020
1695,SkilloVilla,300000.0,2021
1484,Prodo,300000.0,2021
653,Finsall,300000.0,2021
1448,Plutomen,300000.0,2021
470,Deepsync,300000.0,2020
957,Inzpira,300000.0,2021
223,Blaer Motors,300000.0,2021
1535,Rapawalk,300000.0,2020
328,Chirrup,300000.0,2021
855,HobSpace,300000.0,4041
2000,VenWiz,300000.0,2021
662,Fitpage,300000.0,2021
1501,PurpleTutor,300000.0,2021
324,ChefKart,300000.0,2021
1503,QShala,300000.0,2020
1835,Tamasha.live,300000.0,2020
1659,Shadez,300000.0,4041
157,BHyve,300000.0,2021
1090,Little Leap,300000.0,2021
2069,Whiz League,300000.0,2021
2195,ixamBee,300000.0,2021
1542,ReDesyn,300000.0,2021
747,Genrobotics,300000.0,2020
1733,SpEd@home,300000.0,2021
544,EduFund,300000.0,2021
749,GeoIQ,300000.0,2020
543,Edmingle,300000.0,2021
1627,Sapio Analytics,300000.0,6062
1077,LetsDressUp,300000.0,2021
914,Indic Inspirations,300000.0,2021
2188,iMumz,300000.0,2021
1259,Near Store,300000.0,2020
386,Convin,300000.0,2021
1357,Ourbetterplanet,300000.0,2021
354,CloudFiles,300000.0,2021
568,Endimension,300000.0,2021
579,Equiwatt,300000.0,2020
1052,Lancify,300000.0,2020
2207,peAR,300000.0,2021
572,Ensuredit,300000.0,2020
1152,MechMocha,292000.0,2020
955,Invento Robotics,281300.0,2020
1517,Quicko,280000.0,2020
215,BiteSpeed,275000.0,2020
457,Data Sutram,266500.0,2020
2001,Vendor Infra,265000.0,2021
73,Ameliorate Biotech,264000.0,2020
643,Filo,260000.0,2021
1403,Perfora,260000.0,2021
960,Jade Forest,250000.0,2020
745,Genius Corner,250000.0,2020
982,KIWI,250000.0,2021
807,Gyde,250000.0,2021
928,Infurnia,240000.0,2020
752,GetWork,240000.0,4041
1022,Kohbee,235000.0,2021
420,Crimson Healthcare,229800.0,2020
2118,Yodacart,225000.0,2021
492,DocSumo,220000.0,2020
1843,Tea Trunk,220000.0,2020
642,Fieldproxy,200000.0,2021
2089,Wobb,200000.0,2021
1488,Prolgae,200000.0,2021
19,AFK Gaming,200000.0,2020
233,Bluepad,200000.0,2021
1173,Mentoria,200000.0,2021
756,Glamplus,200000.0,2021
475,Design X,200000.0,2020
20,AMPM,200000.0,2021
2061,Wellcure,200000.0,2020
66,AlgoBulls,200000.0,2020
897,Illumnus,200000.0,4040
524,EF Polymer,200000.0,2021
573,Enthu.ai,200000.0,2021
569,Enercomp,200000.0,2021
488,Disruptium,200000.0,2021
466,Deciwood,200000.0,2021
605,EzeRx,200000.0,2020
1667,ShipsKart,200000.0,2020
1358,OwO,200000.0,2021
1014,Klassroom,200000.0,2021
2170,byteXL,200000.0,2021
1574,Rocket Skills,200000.0,2021
252,Braingroom,200000.0,2021
235,Boingg,200000.0,2021
791,Green Soul,200000.0,2021
594,Ewar,200000.0,2020
929,InfyU Labs,200000.0,2021
1255,Nap Chief,200000.0,2021
1671,ShopMyLooks,200000.0,2021
942,Inspacco,200000.0,2021
842,Hemp Horizons,200000.0,2021
1806,Supersourcing,200000.0,2021
1377,ParkSmart,198000.0,4041
2086,Witblox,182700.0,2019
1664,Shiksha,181000.0,2020
1855,Tessol,160000.0,2020
863,Homversity,155000.0,2021
2130,ZFW Hospitality,150000.0,2021
1172,MentorKart,150000.0,2021
530,EV Plugs,150000.0,2021
771,GoTo,150000.0,2021
1825,TRDR,150000.0,2021
1841,Tattva,150000.0,2020
1862,The Gourmet Jar,150000.0,2021
971,JobSquare,140500.0,2019
972,Jobsgaar,140000.0,2021
1859,ThatMate,140000.0,2021
2211,truMe,140000.0,2019
468,DeepSync,136000.0,2020
1568,Ripsey,133000.0,2020
1696,Skippi Ice Pops,130000.0,2021
1884,Tilt,125000.0,2021
1619,Samaaro,125000.0,2021
1356,OurEye.ai,120000.0,2020
1927,TrulyMadly Matchmakers,110000.0,2020
1628,Sarathi,100000.0,2021
1268,Nestroots,100000.0,2021
464,DebugsBunny,100000.0,2020
1016,Knackit,100000.0,2021
270,Buyofuel,100000.0,2021
949,IntelleWings,100000.0,2021
700,FreeStand,100000.0,2021
1056,Lawyered,100000.0,2019
1177,Mestastop Solutions,100000.0,2021
481,Dhurnia,100000.0,2020
1976,UrbanMatrix Technologies,100000.0,2021
520,Dybo,100000.0,2021
1474,Prescribe,100000.0,2020
1232,MyGameMate,100000.0,2019
1808,Supply6,100000.0,2021
438,Cusmat,100000.0,2021
1990,Valuationary,100000.0,2021
1030,Krayonnz,100000.0,2020
1498,Puresh Daily,100000.0,2021
1325,Odwen,54000.0,2020
1500,Purple Style Labs,43000.0,2020
1479,ProPhysio,40900.0,2020
989,Karfa,25000.0,2020
1214,Monech,12700.0,2020
1845,Teach Us,12700.0,2020
1163,Medicus,12700.0,2020
759,Glii,10000.0,2021
1393,Peel Works,42.23,2020
1596,SATYA Microcapital,9.6,2020
1282,Nimble Growth Organics,0.0,2021
286,CanPe,0.0,2021
1045,Kwik Foods,0.0,2021
1040,Kudos,0.0,2021
1068,LegalPay,0.0,4042
883,Hyreo,0.0,2021
1256,Navars,0.0,2021
173,BatteryPool,0.0,2021
1247,NIRAMAI,0.0,2021
1728,Sochcast,0.0,2021
1602,SMOOR,0.0,2021
1566,Rezo.ai,0.0,2021
2209,saarthi.ai,0.0,2021
878,Hypd Store,0.0,2021
1968,Upgame,0.0,2021
2158,Zouk,0.0,2021
91,ApnaKlub,0.0,2021
1379,Pathfndr.io,0.0,2021
1011,Kissan Pro,0.0,2021
2201,mHealth,0.0,2021
82,Answer Genomics,0.0,2021
102,Arbo Works,0.0,2021
2155,Zorgers,0.0,2021
1736,Spark Studio,0.0,2021
1343,Onelife Nutriscience,0.0,2021
1058,LeadSquared,0.0,2021
78,Anar Business Community,0.0,2021
1342,Onelife,0.0,2021
1341,Oneiric Gaming,0.0,2021
1062,Learn4o Technology,0.0,2021
83,AntWak,0.0,2021
100,Aquatein,0.0,2021
1937,TyrePlex,0.0,2021
1065,Leegality,0.0,2021
1289,NirogGyan,0.0,2021
1054,Lavado,0.0,2021
380,CommerceUp,0.0,2021
130,Avalon Labs,0.0,2021
742,Genext Students,0.0,2021
1632,SatSure,0.0,2021
104,Arcatron Mobility,0.0,2021
725,GODI Energy,0.0,2021
732,GalaxEye,0.0,2021
322,Chargeup,0.0,2021
659,Firmway,0.0,2021
32,Accio Robotics,0.0,2021
975,Juicy chemistry,0.0,2021
952,Intervue,0.0,2021
1701,Slang Labs,0.0,2021
1676,Shumee,0.0,2021
2101,Wright Research,0.0,2021
1183,MicroDegree,0.0,2021
1181,MetroRide,0.0,2021
50,Agri10x,0.0,2021
2045,Wallmantra,0.0,2021
484,DigiSparsh,0.0,2021
1452,Pocketly,0.0,2021
1975,UrbanKisaan,0.0,2021
1455,Polygon,0.0,2021
2048,WaterScience,0.0,2021
152,AyuRythm,0.0,2021
2060,Wellbeing Nutrition,0.0,2021
616,Fabheads,0.0,2021
1462,Powerhouse91,0.0,2021
617,Fable Fintech,0.0,2021
852,Hike,0.0,2021
1158,MedPrime Technologies,0.0,2021
1472,PrepBytes,0.0,2021
1919,TruNativ,0.0,2021
2068,Wherehouse.io,0.0,2021
2024,Vitra.ai,0.0,2021
1511,Quali55Care,0.0,2021
299,CareerNinja,0.0,2021
1513,Qube Health,0.0,2021
570,Enguru,0.0,2021
169,BangDB,0.0,2021
1380,PayCardo,0.0,2021
907,Indi Energy,0.0,2021
1872,The Switch Fix,0.0,2021
361,CoRover,0.0,2021
362,Codedamn,0.0,2021
1387,PazCare,0.0,2021
623,FanAnywhere,0.0,4042
67,Almo,0.0,2021
1390,PeakPerformer,0.0,2021
874,Humit,0.0,2021
2135,Zenpay Solutions,0.0,2021
1860,The Ayurveda Co,0.0,2021
1228,My3DSelfie,0.0,2021
930,Ingenium,0.0,2021
994,Keeros,0.0,2021
704,Frenzi,0.0,2021
1657,Settlrs,0.0,2021
237,Bolkar,0.0,2021
862,Homingos,0.0,2021
991,Karkinos Healthcare,0.0,2021
